batch,target,bytes,target_sha256,retained_path,retained_sha256,restore_member,restore_recipe,risk,state
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert1_Edge1/VB0.139_Vc100.0_fz0.1.jpg,106257,4ca38c6cda5aa986e0168cadbb94dfb7a994aa5163020f345d42e2fd2c751025,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert1_Edge1/VB0.139_Vc100.0_fz0.1.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert1_Edge1/VB0.139_Vc100.0_fz0.1_tag.jpg,122563,1cfe45ef4c749ff3c5364764b1fbacfa2d98abbf37c7b7951bfac222a7aca6e0,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert1_Edge1/VB0.139_Vc100.0_fz0.1_tag.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert2_Edge1/VB0.120_Vc100.0_fz0.1.jpg,113628,aa1713d364943e9e6155c09051cc5889d2cd563a5c5d78f8dfc91607bf746015,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert2_Edge1/VB0.120_Vc100.0_fz0.1.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert2_Edge1/VB0.120_Vc100.0_fz0.1_tag.jpg,130204,b006b4ffae447187413dea53f182d7fe1461b4f11e633c23e28533831db04a1b,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert2_Edge1/VB0.120_Vc100.0_fz0.1_tag.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert3_Edge1/VB0.213_Vc100.0_fz0.1.jpg,115023,a29f16898b1affcfd7b4fe538d311812133dbe4671e3f1650a95765caf23f8db,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert3_Edge1/VB0.213_Vc100.0_fz0.1.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert3_Edge1/VB0.213_Vc100.0_fz0.1_tag.jpg,132345,5508ee0592ab99a45aea08f3761c3c6021b6f624e751a37e0f8f3abf209b382a,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert3_Edge1/VB0.213_Vc100.0_fz0.1_tag.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert4_Edge1/VB0.201_Vc100.0_fz0.1.jpg,111886,fb22a7504805a7e8d61a2a21e76071244964d2b242772a31d878acbdceeebb98,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert4_Edge1/VB0.201_Vc100.0_fz0.1.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert4_Edge1/VB0.201_Vc100.0_fz0.1_tag.jpg,129422,e041ca66d037eef01cd2cdb551bfddf497d8ca796df9adb5b245a44861e6aa83,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert4_Edge1/VB0.201_Vc100.0_fz0.1_tag.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert6_Edge1/VB0.276_Vc100.0_fz0.1.jpg,105559,f42e3a2e4c6567d8a032df51a323e222a0e08c14a5186fbd7e3e44177de15f99,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert6_Edge1/VB0.276_Vc100.0_fz0.1.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
MUTCM_EXACT_SMALL_SUBSET_DUPLICATES,data/MU-TCM face-milling dataset/small_subset/VB_images/Insert6_Edge1/VB0.276_Vc100.0_fz0.1_tag.jpg,123310,b4dc59e275ea0d7c5851784c87a05c1ff0309e384ce5941c0af1557d2d85b6bc,data/MU-TCM face-milling dataset/full_dataset.7z,c653f3dc2e762c9bfd21e8a9248cc12494ff6ae6e5991f93c4b6845a50f37223,full_dataset/VB_images/Insert6_Edge1/VB0.276_Vc100.0_fz0.1_tag.jpg,BSDTAR_ARCHIVE_MEMBER_STREAM_ATOMIC,LOW_EXACT_ARCHIVE_MEMBER_DUPLICATE,PRESERVE_PENDING_TRANSPARENT_ARCHIVE_READER
