path,bytes,compressed_bytes,crc32,volume_index_zero_based
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/1.csv,1335824,475030,622e5879,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/10.csv,1333990,479702,af61e30a,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/100.csv,1294430,501231,9b48509c,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/101.csv,1292948,501947,0a9e1b14,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/102.csv,1292733,501709,3a2ae7b0,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/103.csv,1292971,501690,cfff4cb8,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/104.csv,1292043,501294,2c3f07ee,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/105.csv,1292601,501422,830d5208,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/106.csv,1292563,500902,7f0d49d6,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/107.csv,1292644,501361,d94a5726,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/108.csv,1292280,501941,b138a24f,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/109.csv,1292642,500928,bf681c57,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/11.csv,1332646,480668,a8504b63,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/110.csv,1293061,501275,d4780f67,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/111.csv,1292581,501285,b9285d50,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/112.csv,1292669,501306,947eb638,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/113.csv,1292681,500957,a2ec54e6,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/114.csv,1291793,501448,b808dc17,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/115.csv,1291698,501008,ab30f5b3,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/116.csv,1292276,501930,96263053,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/117.csv,1291661,501382,ee553a3c,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/118.csv,1292028,501611,cfc4d5c0,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/119.csv,1292139,501712,c756dfb7,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/12.csv,1334224,481768,1c73b497,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/120.csv,1290410,501362,95e8201e,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/121.csv,1290170,501264,7d84ef35,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/122.csv,1287202,500957,12ec55a8,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/123.csv,1277100,501039,da050361,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/13.csv,1332827,481601,6a324b22,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/14.csv,1331684,481965,a33e1ddf,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/15.csv,1331144,481841,ec624194,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/16.csv,1331865,482263,e69cc77e,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/17.csv,1334271,482595,d276620b,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/18.csv,1332167,482209,6b6f9aa7,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/19.csv,1332550,481925,20acb5b5,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/2.csv,1335346,476839,27e926df,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/20.csv,1332032,481706,168bdbba,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/21.csv,1332036,482185,60d1d7e5,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/22.csv,1330351,483621,3bca56fc,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/23.csv,1333110,482272,93cc1a80,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/24.csv,1332480,483943,dce1b8e9,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/25.csv,1331925,483446,8706ae5f,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/26.csv,1330972,483528,fb973888,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/27.csv,1330299,483499,c573b836,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/28.csv,1329720,484244,5e4ca3fe,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/29.csv,1330254,482943,54f0219f,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/3.csv,1335006,476736,45e561d7,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/30.csv,1330124,484707,d074c06e,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/31.csv,1330960,483788,0ee31268,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/32.csv,1330985,485023,d473bcb9,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/33.csv,1330844,483653,aaf14ac4,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/34.csv,1330198,483407,100b1fec,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/35.csv,1330892,484467,c3e4dc32,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/36.csv,1329624,484361,4cf13217,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/37.csv,1329962,484628,8de57498,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/38.csv,1330831,484172,801fd6e7,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/39.csv,1331653,485106,f2dd4da6,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/4.csv,1334458,476624,1fd6adb3,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/40.csv,1330738,485158,2baeab1d,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/41.csv,1329368,484927,b22ea2eb,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/42.csv,1331608,483870,c22b1d4a,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/43.csv,1330337,483539,55a17d2c,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/44.csv,1331771,483068,447c6541,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/45.csv,1329988,485320,7f5939e9,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/46.csv,1330325,483707,b459848c,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/47.csv,1328876,485571,5724ac92,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/48.csv,1330339,484815,5f27963a,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/49.csv,1330427,483544,9556524b,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/5.csv,1334900,478633,45d88905,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/50.csv,1331962,483183,6467ebf3,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/51.csv,1330672,484280,44ddadd9,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/52.csv,1331375,483681,f973a157,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/53.csv,1330180,484026,9b4fcab7,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/54.csv,1331826,483835,9c6e44fc,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/55.csv,1331002,484853,60a911f7,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/56.csv,1330771,484379,228a53e0,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/57.csv,1328658,484335,48de3fce,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/58.csv,1331025,483617,ff09bc7f,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/59.csv,1329981,485260,b2f9e631,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/6.csv,1333769,479430,0054de2b,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/60.csv,1331025,485055,183827ba,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/61.csv,1333098,484452,e3f1c793,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/62.csv,1328267,483930,e5148878,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/63.csv,1329768,483954,faea3b9a,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/64.csv,1329110,484533,a11cdaba,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/65.csv,1329047,484232,a6f1ef3e,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/66.csv,1331042,484485,94cff55e,0
XJTU-SY_Bearing_Datasets/35Hz12kN/Bearing1_1/67.csv,1328006,485292,7a77c084,0
