sample_id,split,raw_class_id,class_name,display_name,source_file,file_id,window_index,start,end,n_rows,window_count_in_file
1_10_w0000,train,1,normal_machining,Normal machining,1_10_pre.csv,10,0,0,2048,73728,71
1_10_w0001,train,1,normal_machining,Normal machining,1_10_pre.csv,10,1,1024,3072,73728,71
1_10_w0002,train,1,normal_machining,Normal machining,1_10_pre.csv,10,2,2048,4096,73728,71
1_10_w0003,train,1,normal_machining,Normal machining,1_10_pre.csv,10,3,3072,5120,73728,71
1_10_w0004,train,1,normal_machining,Normal machining,1_10_pre.csv,10,4,4096,6144,73728,71
1_10_w0005,train,1,normal_machining,Normal machining,1_10_pre.csv,10,5,5120,7168,73728,71
1_10_w0006,train,1,normal_machining,Normal machining,1_10_pre.csv,10,6,6144,8192,73728,71
1_10_w0007,train,1,normal_machining,Normal machining,1_10_pre.csv,10,7,7168,9216,73728,71
1_10_w0008,train,1,normal_machining,Normal machining,1_10_pre.csv,10,8,8192,10240,73728,71
1_10_w0009,train,1,normal_machining,Normal machining,1_10_pre.csv,10,9,9216,11264,73728,71
1_10_w0010,train,1,normal_machining,Normal machining,1_10_pre.csv,10,10,10240,12288,73728,71
1_10_w0011,train,1,normal_machining,Normal machining,1_10_pre.csv,10,11,11264,13312,73728,71
1_10_w0012,train,1,normal_machining,Normal machining,1_10_pre.csv,10,12,12288,14336,73728,71
1_10_w0013,train,1,normal_machining,Normal machining,1_10_pre.csv,10,13,13312,15360,73728,71
1_10_w0014,train,1,normal_machining,Normal machining,1_10_pre.csv,10,14,14336,16384,73728,71
1_10_w0015,train,1,normal_machining,Normal machining,1_10_pre.csv,10,15,15360,17408,73728,71
1_10_w0016,train,1,normal_machining,Normal machining,1_10_pre.csv,10,16,16384,18432,73728,71
1_10_w0017,train,1,normal_machining,Normal machining,1_10_pre.csv,10,17,17408,19456,73728,71
1_10_w0018,train,1,normal_machining,Normal machining,1_10_pre.csv,10,18,18432,20480,73728,71
1_10_w0019,train,1,normal_machining,Normal machining,1_10_pre.csv,10,19,19456,21504,73728,71
1_10_w0020,train,1,normal_machining,Normal machining,1_10_pre.csv,10,20,20480,22528,73728,71
1_10_w0021,train,1,normal_machining,Normal machining,1_10_pre.csv,10,21,21504,23552,73728,71
1_10_w0022,train,1,normal_machining,Normal machining,1_10_pre.csv,10,22,22528,24576,73728,71
1_10_w0023,train,1,normal_machining,Normal machining,1_10_pre.csv,10,23,23552,25600,73728,71
1_10_w0024,train,1,normal_machining,Normal machining,1_10_pre.csv,10,24,24576,26624,73728,71
1_10_w0025,train,1,normal_machining,Normal machining,1_10_pre.csv,10,25,25600,27648,73728,71
1_10_w0026,train,1,normal_machining,Normal machining,1_10_pre.csv,10,26,26624,28672,73728,71
1_10_w0027,train,1,normal_machining,Normal machining,1_10_pre.csv,10,27,27648,29696,73728,71
1_10_w0028,train,1,normal_machining,Normal machining,1_10_pre.csv,10,28,28672,30720,73728,71
1_10_w0029,train,1,normal_machining,Normal machining,1_10_pre.csv,10,29,29696,31744,73728,71
1_10_w0030,train,1,normal_machining,Normal machining,1_10_pre.csv,10,30,30720,32768,73728,71
1_10_w0031,train,1,normal_machining,Normal machining,1_10_pre.csv,10,31,31744,33792,73728,71
1_10_w0032,train,1,normal_machining,Normal machining,1_10_pre.csv,10,32,32768,34816,73728,71
1_10_w0033,train,1,normal_machining,Normal machining,1_10_pre.csv,10,33,33792,35840,73728,71
1_10_w0034,train,1,normal_machining,Normal machining,1_10_pre.csv,10,34,34816,36864,73728,71
1_10_w0035,train,1,normal_machining,Normal machining,1_10_pre.csv,10,35,35840,37888,73728,71
1_10_w0036,train,1,normal_machining,Normal machining,1_10_pre.csv,10,36,36864,38912,73728,71
1_10_w0037,train,1,normal_machining,Normal machining,1_10_pre.csv,10,37,37888,39936,73728,71
1_10_w0038,train,1,normal_machining,Normal machining,1_10_pre.csv,10,38,38912,40960,73728,71
1_10_w0039,train,1,normal_machining,Normal machining,1_10_pre.csv,10,39,39936,41984,73728,71
1_10_w0040,train,1,normal_machining,Normal machining,1_10_pre.csv,10,40,40960,43008,73728,71
1_10_w0041,train,1,normal_machining,Normal machining,1_10_pre.csv,10,41,41984,44032,73728,71
1_10_w0042,train,1,normal_machining,Normal machining,1_10_pre.csv,10,42,43008,45056,73728,71
1_10_w0043,train,1,normal_machining,Normal machining,1_10_pre.csv,10,43,44032,46080,73728,71
1_10_w0044,train,1,normal_machining,Normal machining,1_10_pre.csv,10,44,45056,47104,73728,71
1_10_w0045,train,1,normal_machining,Normal machining,1_10_pre.csv,10,45,46080,48128,73728,71
1_10_w0046,train,1,normal_machining,Normal machining,1_10_pre.csv,10,46,47104,49152,73728,71
1_10_w0047,train,1,normal_machining,Normal machining,1_10_pre.csv,10,47,48128,50176,73728,71
1_10_w0048,train,1,normal_machining,Normal machining,1_10_pre.csv,10,48,49152,51200,73728,71
1_10_w0049,train,1,normal_machining,Normal machining,1_10_pre.csv,10,49,50176,52224,73728,71
1_10_w0050,train,1,normal_machining,Normal machining,1_10_pre.csv,10,50,51200,53248,73728,71
1_10_w0051,train,1,normal_machining,Normal machining,1_10_pre.csv,10,51,52224,54272,73728,71
1_10_w0052,train,1,normal_machining,Normal machining,1_10_pre.csv,10,52,53248,55296,73728,71
1_10_w0053,train,1,normal_machining,Normal machining,1_10_pre.csv,10,53,54272,56320,73728,71
1_10_w0054,train,1,normal_machining,Normal machining,1_10_pre.csv,10,54,55296,57344,73728,71
1_10_w0055,train,1,normal_machining,Normal machining,1_10_pre.csv,10,55,56320,58368,73728,71
1_10_w0056,train,1,normal_machining,Normal machining,1_10_pre.csv,10,56,57344,59392,73728,71
1_10_w0057,train,1,normal_machining,Normal machining,1_10_pre.csv,10,57,58368,60416,73728,71
1_10_w0058,train,1,normal_machining,Normal machining,1_10_pre.csv,10,58,59392,61440,73728,71
1_10_w0059,train,1,normal_machining,Normal machining,1_10_pre.csv,10,59,60416,62464,73728,71
1_10_w0060,train,1,normal_machining,Normal machining,1_10_pre.csv,10,60,61440,63488,73728,71
1_10_w0061,train,1,normal_machining,Normal machining,1_10_pre.csv,10,61,62464,64512,73728,71
1_10_w0062,train,1,normal_machining,Normal machining,1_10_pre.csv,10,62,63488,65536,73728,71
1_10_w0063,train,1,normal_machining,Normal machining,1_10_pre.csv,10,63,64512,66560,73728,71
1_10_w0064,train,1,normal_machining,Normal machining,1_10_pre.csv,10,64,65536,67584,73728,71
1_10_w0065,train,1,normal_machining,Normal machining,1_10_pre.csv,10,65,66560,68608,73728,71
1_10_w0066,train,1,normal_machining,Normal machining,1_10_pre.csv,10,66,67584,69632,73728,71
1_10_w0067,train,1,normal_machining,Normal machining,1_10_pre.csv,10,67,68608,70656,73728,71
1_10_w0068,train,1,normal_machining,Normal machining,1_10_pre.csv,10,68,69632,71680,73728,71
1_10_w0069,train,1,normal_machining,Normal machining,1_10_pre.csv,10,69,70656,72704,73728,71
1_10_w0070,train,1,normal_machining,Normal machining,1_10_pre.csv,10,70,71680,73728,73728,71
1_1_w0000,train,1,normal_machining,Normal machining,1_1_pre.csv,1,0,0,2048,196608,191
1_1_w0001,train,1,normal_machining,Normal machining,1_1_pre.csv,1,1,1024,3072,196608,191
1_1_w0002,train,1,normal_machining,Normal machining,1_1_pre.csv,1,2,2048,4096,196608,191
1_1_w0003,train,1,normal_machining,Normal machining,1_1_pre.csv,1,3,3072,5120,196608,191
1_1_w0004,train,1,normal_machining,Normal machining,1_1_pre.csv,1,4,4096,6144,196608,191
1_1_w0005,train,1,normal_machining,Normal machining,1_1_pre.csv,1,5,5120,7168,196608,191
1_1_w0006,train,1,normal_machining,Normal machining,1_1_pre.csv,1,6,6144,8192,196608,191
1_1_w0007,train,1,normal_machining,Normal machining,1_1_pre.csv,1,7,7168,9216,196608,191
1_1_w0008,train,1,normal_machining,Normal machining,1_1_pre.csv,1,8,8192,10240,196608,191
