count,method,n_real,pred_class,seed,true_class
42,real_only,10,normal_machining,0,normal_machining
19,real_only,10,lead_screw_anomaly,0,normal_machining
10,real_only,10,base_imbalance,0,normal_machining
77,real_only,10,normal_machining,0,lead_screw_anomaly
16,real_only,10,lead_screw_anomaly,0,lead_screw_anomaly
26,real_only,10,base_imbalance,0,lead_screw_anomaly
6,real_only,10,normal_machining,0,base_imbalance
29,real_only,10,lead_screw_anomaly,0,base_imbalance
32,real_only,10,base_imbalance,0,base_imbalance
30,noise_aug,10,normal_machining,0,normal_machining
30,noise_aug,10,lead_screw_anomaly,0,normal_machining
11,noise_aug,10,base_imbalance,0,normal_machining
68,noise_aug,10,normal_machining,0,lead_screw_anomaly
17,noise_aug,10,lead_screw_anomaly,0,lead_screw_anomaly
34,noise_aug,10,base_imbalance,0,lead_screw_anomaly
0,noise_aug,10,normal_machining,0,base_imbalance
23,noise_aug,10,lead_screw_anomaly,0,base_imbalance
44,noise_aug,10,base_imbalance,0,base_imbalance
40,llm_closed_loop,10,normal_machining,0,normal_machining
20,llm_closed_loop,10,lead_screw_anomaly,0,normal_machining
11,llm_closed_loop,10,base_imbalance,0,normal_machining
70,llm_closed_loop,10,normal_machining,0,lead_screw_anomaly
21,llm_closed_loop,10,lead_screw_anomaly,0,lead_screw_anomaly
28,llm_closed_loop,10,base_imbalance,0,lead_screw_anomaly
2,llm_closed_loop,10,normal_machining,0,base_imbalance
40,llm_closed_loop,10,lead_screw_anomaly,0,base_imbalance
25,llm_closed_loop,10,base_imbalance,0,base_imbalance
34,rule_verified,10,normal_machining,0,normal_machining
24,rule_verified,10,lead_screw_anomaly,0,normal_machining
13,rule_verified,10,base_imbalance,0,normal_machining
76,rule_verified,10,normal_machining,0,lead_screw_anomaly
10,rule_verified,10,lead_screw_anomaly,0,lead_screw_anomaly
33,rule_verified,10,base_imbalance,0,lead_screw_anomaly
4,rule_verified,10,normal_machining,0,base_imbalance
12,rule_verified,10,lead_screw_anomaly,0,base_imbalance
51,rule_verified,10,base_imbalance,0,base_imbalance
40,random_open_loop,10,normal_machining,0,normal_machining
17,random_open_loop,10,lead_screw_anomaly,0,normal_machining
14,random_open_loop,10,base_imbalance,0,normal_machining
75,random_open_loop,10,normal_machining,0,lead_screw_anomaly
8,random_open_loop,10,lead_screw_anomaly,0,lead_screw_anomaly
36,random_open_loop,10,base_imbalance,0,lead_screw_anomaly
4,random_open_loop,10,normal_machining,0,base_imbalance
8,random_open_loop,10,lead_screw_anomaly,0,base_imbalance
55,random_open_loop,10,base_imbalance,0,base_imbalance
4,real_only,10,normal_machining,1,normal_machining
44,real_only,10,lead_screw_anomaly,1,normal_machining
23,real_only,10,base_imbalance,1,normal_machining
21,real_only,10,normal_machining,1,lead_screw_anomaly
34,real_only,10,lead_screw_anomaly,1,lead_screw_anomaly
64,real_only,10,base_imbalance,1,lead_screw_anomaly
8,real_only,10,normal_machining,1,base_imbalance
37,real_only,10,lead_screw_anomaly,1,base_imbalance
22,real_only,10,base_imbalance,1,base_imbalance
4,noise_aug,10,normal_machining,1,normal_machining
57,noise_aug,10,lead_screw_anomaly,1,normal_machining
10,noise_aug,10,base_imbalance,1,normal_machining
27,noise_aug,10,normal_machining,1,lead_screw_anomaly
54,noise_aug,10,lead_screw_anomaly,1,lead_screw_anomaly
38,noise_aug,10,base_imbalance,1,lead_screw_anomaly
8,noise_aug,10,normal_machining,1,base_imbalance
32,noise_aug,10,lead_screw_anomaly,1,base_imbalance
27,noise_aug,10,base_imbalance,1,base_imbalance
7,llm_closed_loop,10,normal_machining,1,normal_machining
55,llm_closed_loop,10,lead_screw_anomaly,1,normal_machining
9,llm_closed_loop,10,base_imbalance,1,normal_machining
19,llm_closed_loop,10,normal_machining,1,lead_screw_anomaly
75,llm_closed_loop,10,lead_screw_anomaly,1,lead_screw_anomaly
25,llm_closed_loop,10,base_imbalance,1,lead_screw_anomaly
1,llm_closed_loop,10,normal_machining,1,base_imbalance
50,llm_closed_loop,10,lead_screw_anomaly,1,base_imbalance
16,llm_closed_loop,10,base_imbalance,1,base_imbalance
15,rule_verified,10,normal_machining,1,normal_machining
50,rule_verified,10,lead_screw_anomaly,1,normal_machining
6,rule_verified,10,base_imbalance,1,normal_machining
68,rule_verified,10,normal_machining,1,lead_screw_anomaly
15,rule_verified,10,lead_screw_anomaly,1,lead_screw_anomaly
36,rule_verified,10,base_imbalance,1,lead_screw_anomaly
12,rule_verified,10,normal_machining,1,base_imbalance
31,rule_verified,10,lead_screw_anomaly,1,base_imbalance
24,rule_verified,10,base_imbalance,1,base_imbalance
3,random_open_loop,10,normal_machining,1,normal_machining
53,random_open_loop,10,lead_screw_anomaly,1,normal_machining
15,random_open_loop,10,base_imbalance,1,normal_machining
12,random_open_loop,10,normal_machining,1,lead_screw_anomaly
33,random_open_loop,10,lead_screw_anomaly,1,lead_screw_anomaly
74,random_open_loop,10,base_imbalance,1,lead_screw_anomaly
2,random_open_loop,10,normal_machining,1,base_imbalance
30,random_open_loop,10,lead_screw_anomaly,1,base_imbalance
35,random_open_loop,10,base_imbalance,1,base_imbalance
6,real_only,10,normal_machining,2,normal_machining
61,real_only,10,lead_screw_anomaly,2,normal_machining
4,real_only,10,base_imbalance,2,normal_machining
30,real_only,10,normal_machining,2,lead_screw_anomaly
54,real_only,10,lead_screw_anomaly,2,lead_screw_anomaly
