accepted_after_feedback,class_name,initial_failed,rescue,slot
True,normal_machining,True,True,0
True,lead_screw_anomaly,True,True,0
False,base_imbalance,False,False,0
False,normal_machining,True,False,1
False,lead_screw_anomaly,True,False,1
True,base_imbalance,True,True,1
False,normal_machining,True,False,2
True,lead_screw_anomaly,True,True,2
True,base_imbalance,True,True,2
True,normal_machining,True,True,3
True,lead_screw_anomaly,True,True,3
True,base_imbalance,True,True,3
False,normal_machining,False,False,4
False,lead_screw_anomaly,True,False,4
False,base_imbalance,True,False,4
True,normal_machining,True,True,5
True,lead_screw_anomaly,True,True,5
True,base_imbalance,True,True,5
False,normal_machining,True,False,6
False,lead_screw_anomaly,False,False,6
False,base_imbalance,True,False,6
True,normal_machining,True,True,7
False,lead_screw_anomaly,False,False,7
False,base_imbalance,False,False,7
False,normal_machining,False,False,8
False,lead_screw_anomaly,False,False,8
False,base_imbalance,False,False,8
False,normal_machining,False,False,9
False,lead_screw_anomaly,False,False,9
False,base_imbalance,False,False,9
